CPU: ID 0x50654, Processor Type 0x0, Family 0x6, Model 0x55, Stepping 0x4
Northbridge: 8086:2020 (6th generation (Skylake family) Core Processor Xeon E (Server))
Southbridge: 8086:a1c1 (C621)
Trying to reveal Primary to Sideband Bridge (P2SB),
let's hope the OS doesn't mind... done.
SBREG_BAR = 0xfd000000 (MEM)

Hiding Primary to Sideband Bridge (P2SB).

============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0xaf0000

------- GPIO Group GPP_A -------
0x0400: 0x0000001844000d02 GPP_A0       ESPI_ALERT1#        
0x0408: 0x0000301944000c00 GPP_A1       ESPI_IO0            
0x0410: 0x0000301a44000c02 GPP_A2       ESPI_IO1            
0x0418: 0x0000301b44000c00 GPP_A3       ESPI_IO2            
0x0420: 0x0000301c44000c00 GPP_A4       ESPI_IO3            
0x0428: 0x0000301d44000e00 GPP_A5       ESPI_CS0#           
0x0430: 0x0000001e44000e00 GPP_A6       ESPI_CS1#           
0x0438: 0x0000001f44000d02 GPP_A7       ESPI_ALERT0#        
0x0440: 0x0000002044000400 GPP_A8       CLKRUN#             
0x0448: 0x0000102144000e00 GPP_A9       ESPI_CLK            
0x0450: 0x0000002244000500 GPP_A10      CLKOUT_LPC1         
0x0458: 0x0000002344000102 GPP_A11      GPIO                
0x0460: 0x0000002480880102 GPP_A12      GPIO                
0x0468: 0x0000002544000200 GPP_A13      GPIO                
0x0470: 0x0000002644000e00 GPP_A14      ESPI_RESET#         
0x0478: 0x0000002744000102 GPP_A15      GPIO                
0x0480: 0x0000002844000201 GPP_A16      GPIO                
0x0488: 0x0000002944000102 GPP_A17      GPIO                
0x0490: 0x0000002a84000100 GPP_A18      GPIO                
0x0498: 0xffffffffffffffff GPP_A19      RESERVED            
0x04a0: 0x0000002c44000101 GPP_A20      GPIO                
0x04a8: 0x0000002d44000101 GPP_A21      GPIO                
0x04b0: 0x0000002e44000100 GPP_A22      GPIO                
0x04b8: 0x0000002f44000100 GPP_A23      GPIO                
------- GPIO Group GPP_B -------
0x04c0: 0x0000003044000600 GPP_B0       CORE_VID0           
0x04c8: 0x0000003144000600 GPP_B1       CORE_VID1           
0x04d0: 0x0000003244000102 GPP_B2       GPIO                
0x04d8: 0x0000003344000102 GPP_B3       GPIO                
0x04e0: 0x0000003444000100 GPP_B4       GPIO                
0x04e8: 0x0000003544000102 GPP_B5       GPIO                
0x04f0: 0x0000003684000102 GPP_B6       GPIO                
0x04f8: 0x0000003784000102 GPP_B7       GPIO                
0x0500: 0x0000003844000102 GPP_B8       GPIO                
0x0508: 0x0000003944000102 GPP_B9       GPIO                
0x0510: 0x0000003a44000102 GPP_B10      GPIO                
0x0518: 0x0000003b44000200 GPP_B11      GPIO                
0x0520: 0x0000003c44000200 GPP_B12      GPIO                
0x0528: 0x0000003d44000600 GPP_B13      PLTRST#             
0x0530: 0x0000003e84000500 GPP_B14      SPKR                
0x0538: 0x0000003f44000102 GPP_B15      GPIO                
0x0540: 0x0000004044000102 GPP_B16      GPIO                
0x0548: 0x0000004144000100 GPP_B17      GPIO                
0x0550: 0x0000004244000103 GPP_B18      GPIO                
0x0558: 0x0000004344000101 GPP_B19      GPIO                
0x0560: 0x0000004484000201 GPP_B20      GPIO                
0x0568: 0x0000004544000102 GPP_B21      GPIO                
0x0570: 0x0000004644000100 GPP_B22      GPIO                
0x0578: 0x0000004744000801 GPP_B23      PCHHOT#             
------- GPIO Group GPP_F -------
0x0580: 0x0000005544000100 GPP_F0       GPIO                
0x0588: 0x0000005644000100 GPP_F1       GPIO                
0x0590: 0x0000005744000100 GPP_F2       GPIO                
0x0598: 0x0000005844000100 GPP_F3       GPIO                
0x05a0: 0x0000005944000100 GPP_F4       GPIO                
0x05a8: 0x0000005a80100102 GPP_F5       GPIO                
0x05b0: 0x0000005b84000200 GPP_F6       GPIO                
0x05b8: 0x0000005c84000200 GPP_F7       GPIO                
0x05c0: 0x0000005d84000200 GPP_F8       GPIO                
0x05c8: 0x0000005e84000100 GPP_F9       GPIO                
0x05d0: 0x0000005f44000600 GPP_F10      SATA_SCLOCK         
0x05d8: 0x0000006044000600 GPP_F11      SATA_SLOAD          
0x05e0: 0x0000006144000600 GPP_F12      SATA_SDATAOUT1      
0x05e8: 0x0000006244000600 GPP_F13      SATA_SDATAOUT2      
0x05f0: 0x0000006344000e00 GPP_F14      SSATA_LED#          
0x05f8: 0x0000006444000500 GPP_F15      USB_OC4#            
0x0600: 0x0000006544000500 GPP_F16      USB_OC5#            
0x0608: 0x0000006644000500 GPP_F17      USB_OC6#            
0x0610: 0x0000006744000500 GPP_F18      USB_OC7#            
0x0618: 0x0000006844000400 GPP_F19      LAN_SMBCLK          
0x0620: 0x0000006944000400 GPP_F20      LAN_SMBDATA         
0x0628: 0x0000006a44000100 GPP_F21      GPIO                
0x0630: 0x0000006b44000e00 GPP_F22      SSATA_SCLOCK        
0x0638: 0x0000006c44000e00 GPP_F23      SSATA_SLOAD         
------- GPIO Community 1 -------

PCR Port ID: 0xae0000

------- GPIO Group GPP_C -------
0x0400: 0xffffffffffffffff GPP_C0       RESERVED            
0x0408: 0xffffffffffffffff GPP_C1       RESERVED            
0x0410: 0x0000001a00000502 GPP_C2       SMBALERT#           
0x0418: 0xffffffffffffffff GPP_C3       RESERVED            
0x0420: 0xffffffffffffffff GPP_C4       RESERVED            
0x0428: 0x0000001d44000402 GPP_C5       SML0ALERT#          
0x0430: 0xffffffffffffffff GPP_C6       RESERVED            
0x0438: 0xffffffffffffffff GPP_C7       RESERVED            
0x0440: 0x0000002084000100 GPP_C8       GPIO                
0x0448: 0x0000002104000200 GPP_C9       GPIO                
0x0450: 0x0000002284000003 GPP_C10      GPIO                
0x0458: 0x0000002384000102 GPP_C11      GPIO                
0x0460: 0x0000002444000100 GPP_C12      GPIO                
0x0468: 0x0000002544000100 GPP_C13      GPIO                
0x0470: 0x0000002680880102 GPP_C14      GPIO                
0x0478: 0x0000002784000100 GPP_C15      GPIO                
0x0480: 0x0000002884000100 GPP_C16      GPIO                
0x0488: 0x0000002984000102 GPP_C17      GPIO                
0x0490: 0x0000002a84000100 GPP_C18      GPIO                
0x0498: 0x0000002b84000100 GPP_C19      GPIO                
0x04a0: 0x0000002c44000300 GPP_C20      GPIO                
0x04a8: 0x0000002d84000201 GPP_C21      GPIO                
0x04b0: 0x0000302e82040102 GPP_C22      GPIO                
0x04b8: 0x0000002f80040102 GPP_C23      GPIO                
------- GPIO Group GPP_D -------
0x04c0: 0x0000303082020102 GPP_D0       GPIO                
0x04c8: 0x0000003144000200 GPP_D1       GPIO                
